block_group,driving,bicycling,transit,walking,mode_index,mode_index_scaled
530330033005,0.4828571428571429,0.48,0.9028571428571428,0.48,0.5864285714285714,0.3618012422360247
530330060004,0.5542857142857143,0.6,0.937142857142857,0.48,0.6428571428571429,0.484472049689441
530330119002,0.4828571428571429,0.48,0.7457142857142857,0.44,0.5371428571428571,0.2546583850931677
530330030002,0.5342857142857143,0.56,0.8885714285714286,0.48,0.6157142857142857,0.4254658385093166
530330027003,0.6457142857142857,0.6,0.9542857142857144,0.56,0.69,0.5869565217391302
530330063003,0.5,0.4,0.8828571428571429,0.24,0.5057142857142858,0.1863354037267082
530330024002,0.6142857142857143,0.52,0.8771428571428571,0.48,0.6228571428571429,0.4409937888198758
530330114022,0.5228571428571428,0.52,0.9114285714285714,0.48,0.6085714285714285,0.4099378881987576
530330033002,0.5085714285714286,0.48,0.9457142857142856,0.44,0.5935714285714285,0.3773291925465837
530330012002,0.5771428571428572,0.6,0.9457142857142856,0.56,0.6707142857142857,0.545031055900621
530330008002,0.56,0.52,0.8285714285714286,0.44,0.5871428571428572,0.36335403726708076
530330073001,0.8571428571428571,0.84,1.0,0.76,0.8642857142857143,0.9658385093167701
530330118006,0.48,0.48,0.88,0.44,0.57,0.32608695652173897
530330057003,0.4742857142857143,0.44,0.8571428571428571,0.28,0.5128571428571429,0.20186335403726716
530330099001,0.6114285714285714,0.56,0.9514285714285714,0.48,0.6507142857142857,0.5015527950310558
530330118003,0.5314285714285715,0.48,0.8571428571428571,0.44,0.5771428571428572,0.34161490683229817
530330005002,0.56,0.56,0.7457142857142857,0.48,0.5864285714285714,0.3618012422360247
530330052001,0.7342857142857143,0.56,0.9942857142857144,0.52,0.7021428571428572,0.6133540372670807
530330071001,0.6657142857142857,0.72,0.9828571428571428,0.64,0.7521428571428571,0.7220496894409936
530330119004,0.5485714285714285,0.48,0.86,0.44,0.5821428571428571,0.35248447204968925
530330105005,0.56,0.48,0.9342857142857144,0.48,0.6135714285714285,0.42080745341614895
530330059004,0.5057142857142857,0.48,0.9485714285714286,0.48,0.6035714285714285,0.3990683229813663
530330084002,0.8542857142857143,0.8,1.0,0.76,0.8535714285714286,0.9425465838509316
530330097011,0.5542857142857143,0.48,0.8114285714285714,0.48,0.5814285714285714,0.3509316770186334
530330032002,0.48,0.48,0.8828571428571429,0.48,0.5807142857142857,0.3493788819875776
530330017023,0.56,0.56,0.8885714285714286,0.52,0.6321428571428572,0.46118012422360255
530330035001,0.6057142857142856,0.6,0.96,0.52,0.6714285714285714,0.5465838509316768
530330040002,0.5714285714285715,0.52,0.8742857142857143,0.32,0.5714285714285715,0.32919254658385105
530330099002,0.6571428571428571,0.56,0.9542857142857144,0.44,0.6528571428571428,0.5062111801242234
530330104021,0.6571428571428571,0.52,0.9542857142857144,0.48,0.6528571428571428,0.5062111801242234
530330050003,0.6571428571428571,0.6,1.0,0.52,0.6942857142857143,0.5962732919254657
530330028003,0.5885714285714285,0.6,0.937142857142857,0.52,0.6614285714285714,0.5248447204968941
530330032001,0.4828571428571429,0.48,0.8714285714285714,0.48,0.5785714285714285,0.34472049689440976
530330030003,0.5285714285714286,0.56,0.9057142857142856,0.44,0.6085714285714285,0.4099378881987576
530330080015,0.7742857142857144,0.8,0.9971428571428572,0.76,0.8328571428571427,0.8975155279503101
530330075001,0.76,0.84,0.9971428571428572,0.76,0.8392857142857142,0.9114906832298132
530330100013,0.6057142857142856,0.52,0.9657142857142856,0.48,0.6428571428571429,0.484472049689441
530330063004,0.5714285714285715,0.52,0.94,0.48,0.6278571428571429,0.4518633540372671
530330034003,0.5342857142857143,0.52,0.9542857142857144,0.44,0.6121428571428571,0.4177018633540371
530330050002,0.66,0.6,0.9742857142857144,0.52,0.6885714285714286,0.5838509316770186
530330034001,0.5514285714285715,0.52,0.9514285714285714,0.48,0.6257142857142858,0.44720496894409945
530330047001,0.5,0.48,0.9571428571428572,0.44,0.5942857142857143,0.37888198757763975
530330016001,0.5314285714285715,0.56,0.7057142857142857,0.48,0.5692857142857144,0.3245341614906834
530330073003,0.8542857142857143,0.8,0.9914285714285714,0.76,0.8514285714285714,0.9378881987577637
530330008001,0.5457142857142857,0.48,0.8742857142857143,0.44,0.5850000000000001,0.35869565217391314
530330110013,0.54,0.48,0.9,0.4,0.58,0.34782608695652156
530330079003,0.76,0.84,0.9971428571428572,0.76,0.8392857142857142,0.9114906832298132
530330115001,0.5285714285714286,0.52,0.8714285714285714,0.48,0.6,0.3913043478260868
530330077004,0.6742857142857143,0.8,0.9914285714285714,0.68,0.7864285714285715,0.7965838509316769
530330026001,0.6828571428571429,0.6,0.962857142857143,0.56,0.7014285714285715,0.6118012422360248
530330062002,0.7628571428571429,0.6,0.9942857142857144,0.52,0.7192857142857143,0.6506211180124223
530330006004,0.5971428571428572,0.56,0.8857142857142857,0.56,0.6507142857142857,0.5015527950310558
530330111024,0.4885714285714286,0.48,0.9314285714285714,0.48,0.595,0.3804347826086955
530330004021,0.56,0.56,0.8542857142857143,0.48,0.6135714285714287,0.42080745341614917
530330013002,0.5742857142857143,0.56,0.9285714285714286,0.56,0.6557142857142858,0.5124223602484473
530330114021,0.52,0.52,0.92,0.48,0.61,0.41304347826086946
530330097021,0.5457142857142857,0.48,0.8171428571428571,0.48,0.5807142857142857,0.3493788819875776
530330001001,0.5228571428571428,0.52,0.8742857142857143,0.44,0.5892857142857143,0.3680124223602484
530330111011,0.4885714285714286,0.48,0.9285714285714286,0.48,0.5942857142857143,0.37888198757763975
530330007001,0.56,0.52,0.9314285714285714,0.44,0.6128571428571429,0.4192546583850931
530330100011,0.7171428571428571,0.6,0.8942857142857144,0.48,0.6728571428571429,0.5496894409937889
530330119003,0.5342857142857143,0.48,0.7828571428571429,0.44,0.5592857142857143,0.30279503105590055
530330081001,0.8285714285714286,0.8,1.0,0.8,0.8571428571428572,0.9503105590062111
530330107011,0.5714285714285715,0.56,0.92,0.4,0.6128571428571429,0.4192546583850931
530330084001,0.8828571428571429,0.8,1.0,0.76,0.8607142857142858,0.9580745341614906
530330106004,0.5257142857142857,0.52,0.8714285714285714,0.44,0.5892857142857143,0.3680124223602484
530330018003,0.5828571428571429,0.56,0.94,0.56,0.6607142857142857,0.5232919254658384
530330029002,0.5628571428571428,0.56,0.94,0.48,0.6357142857142857,0.4689440993788818
530330094004,0.7657142857142857,0.76,0.9857142857142857,0.64,0.7878571428571429,0.7996894409937888
530330097013,0.4914285714285714,0.48,0.7485714285714287,0.48,0.55,0.28260869565217395
530330024003,0.6285714285714286,0.6,0.8942857142857144,0.44,0.6407142857142857,0.4798136645962731
530330104013,0.5914285714285714,0.48,0.9085714285714286,0.48,0.615,0.42391304347826075
530330059002,0.5,0.52,0.9457142857142856,0.48,0.6114285714285714,0.41614906832298126
530330062003,0.7428571428571429,0.72,0.9457142857142856,0.56,0.7421428571428571,0.700310559006211
530330013003,0.5714285714285715,0.56,0.942857142857143,0.56,0.6585714285714287,0.518633540372671
530330111023,0.4885714285714286,0.48,0.9314285714285714,0.48,0.595,0.3804347826086955
530330036003,0.6742857142857143,0.6,0.962857142857143,0.52,0.6892857142857143,0.5854037267080744
530330061002,0.8,0.72,0.9714285714285714,0.6,0.7728571428571429,0.7670807453416149
530330074014,0.8742857142857143,0.8,1.0,0.76,0.8585714285714285,0.9534161490683227
530330102002,0.48,0.48,0.7714285714285714,0.48,0.5528571428571428,0.2888198757763974
530330036004,0.6742857142857143,0.6,0.9685714285714286,0.6,0.7107142857142857,0.6319875776397514
530330003001,0.5914285714285714,0.56,0.8685714285714287,0.48,0.625,0.4456521739130434
530330014001,0.56,0.56,0.9,0.52,0.635,0.467391304347826
530330089003,0.7285714285714286,0.8,0.9771428571428572,0.6,0.7764285714285715,0.7748447204968943
530330002002,0.5285714285714286,0.52,0.84,0.44,0.5821428571428571,0.35248447204968925
530330070006,0.6114285714285714,0.68,0.9657142857142856,0.56,0.7042857142857143,0.6180124223602483
530330021001,0.6171428571428571,0.6,0.8885714285714286,0.48,0.6464285714285715,0.49223602484472045
530330059005,0.5485714285714285,0.52,0.937142857142857,0.48,0.6214285714285713,0.4378881987577637
530330053013,0.6942857142857143,0.56,0.9914285714285714,0.52,0.6914285714285715,0.5900621118012422
530330002004,0.5314285714285715,0.52,0.7914285714285714,0.44,0.5707142857142857,0.327639751552795
530330070002,0.6257142857142857,0.72,0.9657142857142856,0.6,0.7278571428571429,0.669254658385093
530330116002,0.5228571428571428,0.52,0.8371428571428571,0.44,0.58,0.34782608695652156
530330112002,0.6114285714285714,0.44,0.9457142857142856,0.28,0.5692857142857143,0.32453416149068315
530330104011,0.5571428571428572,0.52,0.9657142857142856,0.48,0.6307142857142857,0.4580745341614905
530330004024,0.56,0.56,0.8657142857142857,0.52,0.6264285714285714,0.4487577639751552
530330080011,0.7742857142857144,0.8,1.0,0.76,0.8335714285714286,0.8990683229813664
530330018001,0.6485714285714286,0.6,0.9457142857142856,0.56,0.6885714285714286,0.5838509316770186
530330116004,0.5028571428571429,0.48,0.8171428571428571,0.44,0.5599999999999999,0.3043478260869563
530330025001,0.6542857142857144,0.6,0.962857142857143,0.52,0.6842857142857144,0.5745341614906834
530330077003,0.6485714285714286,0.8,0.9657142857142856,0.64,0.7635714285714287,0.7468944099378882
530330078002,0.5971428571428572,0.76,0.9228571428571428,0.56,0.7100000000000001,0.6304347826086957
530330045002,0.7171428571428571,0.6,0.96,0.52,0.6992857142857143,0.607142857142857
530330047003,0.4828571428571429,0.48,0.9542857142857144,0.44,0.5892857142857143,0.3680124223602484
530330107021,0.5971428571428572,0.56,0.8885714285714286,0.48,0.6314285714285715,0.4596273291925465
530330043012,0.6142857142857143,0.52,0.98,0.52,0.6585714285714286,0.5186335403726707
530330104022,0.677142857142857,0.56,0.942857142857143,0.48,0.665,0.5326086956521738
530330067001,0.7342857142857143,0.76,0.9971428571428572,0.6,0.7728571428571428,0.7670807453416146
530330052004,0.7314285714285714,0.64,0.98,0.52,0.7178571428571429,0.6475155279503104
530330085001,0.917142857142857,0.8,1.0,0.8,0.8792857142857142,0.9984472049689437
530330103003,0.5285714285714286,0.48,0.9285714285714286,0.48,0.6042857142857143,0.40062111801242234
530330113005,0.5342857142857143,0.52,0.8885714285714286,0.48,0.6057142857142856,0.4037267080745339
530330009001,0.5457142857142857,0.52,0.8371428571428571,0.44,0.5857142857142857,0.36024844720496896
530330111012,0.52,0.48,0.962857142857143,0.48,0.6107142857142858,0.4145962732919255
530330048002,0.5285714285714286,0.56,0.962857142857143,0.48,0.6328571428571429,0.46273291925465837
530330112001,0.5857142857142857,0.4,0.8571428571428571,0.28,0.5307142857142857,0.24068322981366452
530330054002,0.6457142857142857,0.56,0.9714285714285714,0.52,0.6742857142857143,0.5527950310559004
530330107022,0.5685714285714285,0.56,0.9085714285714286,0.48,0.6292857142857143,0.4549689440993789
530330061004,0.8457142857142856,0.76,0.9885714285714288,0.6,0.7985714285714286,0.8229813664596272
530330056004,0.48,0.28,0.8028571428571429,0.28,0.4607142857142858,0.08850931677018653
530330116005,0.52,0.44,0.8628571428571429,0.44,0.5657142857142857,0.3167701863354037
530330116006,0.5228571428571428,0.48,0.8714285714285714,0.4,0.5685714285714285,0.3229813664596271
530330041006,0.5,0.52,0.8085714285714286,0.32,0.5371428571428571,0.2546583850931677
530330002001,0.5571428571428572,0.52,0.8714285714285714,0.44,0.5971428571428572,0.3850931677018634
530330030004,0.52,0.52,0.9,0.48,0.605,0.40217391304347816
530330019002,0.62,0.6,0.917142857142857,0.56,0.6742857142857143,0.5527950310559004
530330038001,0.62,0.6,0.92,0.52,0.665,0.5326086956521738
530330057002,0.48,0.44,0.86,0.36,0.5349999999999999,0.24999999999999978
530330033001,0.5142857142857143,0.52,0.9314285714285714,0.44,0.6014285714285714,0.39440993788819867
530330032005,0.48,0.48,0.86,0.48,0.575,0.33695652173913027
530330009002,0.5628571428571428,0.48,0.8371428571428571,0.44,0.58,0.34782608695652156
530330102004,0.48,0.48,0.8457142857142856,0.48,0.5714285714285714,0.3291925465838508
530330086003,0.7857142857142857,0.8,0.9971428571428572,0.8,0.8457142857142856,0.9254658385093164
530330030001,0.5514285714285715,0.56,0.9314285714285714,0.48,0.6307142857142858,0.45807453416149074
530330106002,0.5685714285714285,0.52,0.9314285714285714,0.48,0.625,0.4456521739130434
530330019001,0.5828571428571429,0.56,0.9257142857142856,0.56,0.6571428571428571,0.5155279503105589
530330095002,0.6571428571428571,0.64,0.9685714285714286,0.52,0.6964285714285715,0.6009316770186336
530330057004,0.4685714285714285,0.44,0.84,0.24,0.4971428571428572,0.16770186335403742
530330076001,0.7285714285714286,0.84,0.9914285714285714,0.68,0.81,0.8478260869565216
530330048001,0.5742857142857143,0.48,0.962857142857143,0.48,0.6242857142857143,0.4440993788819876
530330076002,0.74,0.84,0.9914285714285714,0.72,0.822857142857143,0.8757763975155279
530330107012,0.5228571428571428,0.52,0.8314285714285714,0.48,0.5885714285714285,0.36645962732919235
530330035003,0.5314285714285715,0.56,0.56,0.48,0.5328571428571429,0.2453416149068324
530330010001,0.5657142857142857,0.52,0.8771428571428571,0.44,0.6007142857142858,0.39285714285714285
530330051003,0.6628571428571429,0.56,0.9714285714285714,0.52,0.6785714285714286,0.5621118012422359
530330088001,0.6571428571428571,0.84,0.9542857142857144,0.72,0.7928571428571427,0.8105590062111796
530330093001,0.7371428571428571,0.64,0.9885714285714288,0.6,0.7414285714285714,0.6987577639751551
530330106003,0.5457142857142857,0.52,0.9228571428571428,0.48,0.6171428571428572,0.42857142857142866
530330095004,0.6142857142857143,0.48,0.9742857142857144,0.48,0.6371428571428571,0.4720496894409936
530330067002,0.7628571428571429,0.72,0.9885714285714288,0.68,0.7878571428571429,0.7996894409937888
530330013001,0.6114285714285714,0.56,0.9028571428571428,0.56,0.6585714285714286,0.5186335403726707
530330260011,0.48,0.48,0.6171428571428571,0.4,0.4942857142857142,0.1614906832298135
530330082003,0.9085714285714286,0.8,1.0,0.76,0.8671428571428572,0.9720496894409937
530330049002,0.7,0.56,0.9742857142857144,0.48,0.6785714285714286,0.5621118012422359
530330120003,0.52,0.52,0.7857142857142857,0.44,0.5664285714285714,0.3183229813664595
530330106006,0.5371428571428571,0.52,0.9,0.48,0.6092857142857143,0.41149068322981364
530330058014,0.4857142857142857,0.52,0.9228571428571428,0.44,0.5921428571428572,0.37422360248447206
530330054001,0.66,0.56,0.9771428571428572,0.52,0.6792857142857144,0.563664596273292
530330094001,0.74,0.76,0.9971428571428572,0.68,0.7942857142857144,0.8136645962732919
530330044003,0.6314285714285715,0.64,0.9771428571428572,0.52,0.6921428571428571,0.5916149068322978
530330099003,0.6171428571428571,0.56,0.9485714285714286,0.44,0.6414285714285713,0.48136645962732894
530330052003,0.7114285714285714,0.56,0.98,0.52,0.6928571428571428,0.5931677018633539
530330007003,0.5514285714285715,0.52,0.8085714285714286,0.48,0.5900000000000001,0.36956521739130443
530330097012,0.5142857142857143,0.48,0.8085714285714286,0.48,0.5707142857142857,0.327639751552795
530330042004,0.5428571428571428,0.52,0.9457142857142856,0.48,0.6221428571428571,0.43944099378881973
530330061001,0.7857142857142857,0.64,0.9828571428571428,0.52,0.7321428571428571,0.6785714285714283
530330110023,0.6228571428571429,0.48,0.9285714285714286,0.48,0.6278571428571428,0.4518633540372668
530330031003,0.5085714285714286,0.48,0.8542857142857143,0.48,0.5807142857142857,0.3493788819875776
530330079001,0.7314285714285714,0.84,0.9942857142857144,0.76,0.8314285714285714,0.8944099378881984
530330058012,0.48,0.44,0.8714285714285714,0.4,0.5478571428571428,0.2779503105590061
530330021002,0.6514285714285714,0.6,0.9057142857142856,0.52,0.6692857142857143,0.5419254658385091
530330065001,0.6485714285714286,0.8,0.9685714285714286,0.56,0.7442857142857143,0.7049689440993788
530330002006,0.52,0.52,0.8057142857142857,0.44,0.5714285714285714,0.3291925465838508
530330100024,0.7342857142857143,0.72,0.962857142857143,0.52,0.7342857142857143,0.6832298136645962
530330111022,0.4885714285714286,0.48,0.92,0.48,0.5921428571428571,0.37422360248447184
530330004013,0.5514285714285715,0.56,0.8,0.48,0.5978571428571429,0.3866459627329192
530330033004,0.48,0.48,0.8885714285714286,0.48,0.5821428571428571,0.35248447204968925
530330099004,0.677142857142857,0.4,0.7914285714285714,0.32,0.547142857142857,0.27639751552795006
530330110012,0.5514285714285715,0.48,0.9457142857142856,0.48,0.6142857142857143,0.422360248447205
530330094005,0.7285714285714286,0.72,0.9857142857142857,0.68,0.7785714285714286,0.779503105590062
530330101003,0.5542857142857143,0.52,0.9685714285714286,0.48,0.6307142857142857,0.4580745341614905
530330032006,0.48,0.48,0.7771428571428571,0.48,0.5542857142857143,0.29192546583850926
530330067004,0.7085714285714286,0.72,0.9714285714285714,0.56,0.74,0.6956521739130433
530330004023,0.56,0.56,0.9114285714285714,0.56,0.6478571428571429,0.4953416149068323
530330016002,0.5257142857142857,0.52,0.7942857142857143,0.48,0.5800000000000001,0.34782608695652184
530330086002,0.8114285714285714,0.8,0.9971428571428572,0.76,0.8421428571428571,0.9177018633540369
