bg_origin,dist_under_2,dist_2_to_10,bg_dest,proximity_ratio
530330050003,6994.948867691,4205.422706755,105,1.663316473860118
530330052001,2491.2445647609993,1565.390258003,59,1.591452707735086
530330052002,1965.3142229809998,540.9862658149999,169,3.632835706134312
530330052005,20771.701392542007,3551.416975005,146,5.8488489351529225
530330053012,16266.087527851003,5971.811029821,200,2.723811494808563
530330053013,5883.604741421003,2854.6954712079987,165,2.0610271045588218
530330053014,5292.873221892001,863.0319135589999,72,6.13288238677649
530330053021,5358.359202237,1973.264581284,55,2.7154793396992534
530330053022,4487.510593084,21195.573988260003,204,0.21171922947543592
530330053023,48931.09789895299,24294.620504890012,572,2.0140712998214627
530330054002,1557.98342163,1468.7808037839995,86,1.060732423528541
530330054003,2445.7253798019988,2861.724964602999,235,0.8546332754032807
530330054004,13892.776021232996,12549.151599994999,70,1.1070689449028994
530330058014,2165.7045462819997,3547.998403497,54,0.6104017815079693
530330058022,2220.5587544299997,5633.511331473999,74,0.3941695727181566
530330058023,3263.703361773,1826.2320988580004,59,1.7871240812237912
530330059001,2788.5215349569985,2482.8827300469993,88,1.1230983651427684
530330061003,2416.6045686799994,2052.1865159900003,57,1.1775755029333672
530330061004,7354.362414580003,4167.930485917,76,1.7645117737518952
530330066001,6812.440619195002,9024.170509176003,276,0.7549104499153625
530330066002,8493.59478306,3364.7185848990002,141,2.524310597973814
530330067001,1103.2710515260003,937.5301247000001,74,1.1767846413244967
530330067002,509.3988137999999,1027.2836407500001,77,0.4958696834966608
530330068002,6352.041202314001,3150.7148123160005,89,2.0160635223106076
530330070003,3393.111255393001,791.9130252350001,100,4.284701914564539
530330070004,1247.2775388560003,1115.3520118790004,83,1.1182815161239983
530330070005,6910.384478089999,6272.971931956001,69,1.1016125296028934
530330071001,2792.3701365849997,2792.439797246,163,0.9999750538360508
530330071002,8138.752645943001,6615.954325068998,314,1.2301706218109543
530330072001,20990.168827236994,12748.698827280006,657,1.6464557765159273
530330073001,6549.382169500999,3446.5504242729994,182,1.9002716813239422
530330073002,3357.698304314998,2615.194646514999,280,1.2839190799007858
530330073003,18754.782654660994,6965.506898678999,477,2.6925222998799727
530330074012,8410.66107361,1139.141650497,198,7.38333206405058
530330074013,545.153733091,666.2568926010001,67,0.8182335359605429
530330074014,1247.5390156610001,914.1741275739998,118,1.3646623526435508
530330074021,6266.044781344998,4680.921410619998,262,1.338634903617202
530330074022,1035.893592251,1155.338380266,77,0.8966148878499998
530330074023,3092.190405116,1470.6599836920002,76,2.1025868925550344
530330075001,7439.249215392002,973.9995347680001,116,7.6378365182319925
530330075002,4593.061432395001,2504.1958325950004,103,1.8341462646854543
530330075003,2532.884242988001,1653.3574880330002,109,1.5319640557598793
530330075004,8411.907934070001,5656.367219666002,301,1.487157323312313
530330075005,2704.9433171510013,1359.3836131860003,145,1.9898307519033571
530330076001,3330.7657287659995,2713.3535854,62,1.2275457746045955
530330076002,493.7525989450001,142.60492393999996,64,3.462381138765889
530330076003,2589.7646022699996,374.574760648,63,6.913879081948303
530330079001,5713.778165548999,783.3393944139999,84,7.294128453508149
530330079004,2787.672201221,1068.3293651549998,116,2.6093752471332166
530330079005,1011.4768790829997,169.82340683099997,73,5.956051041241756
530330080012,2440.5447738539997,869.3895658999999,80,2.8071935408236994
530330080013,2182.884163175,1030.404609045,57,2.118472825153744
530330080021,5459.934148679002,3130.242594912,168,1.7442527162443444
530330080022,4049.8435587489985,1836.8105218839999,137,2.2048238021824433
530330081002,45173.85817016001,40096.05266540998,996,1.1266410324009413
530330081003,16316.908263550984,5724.334753288998,293,2.850446203233637
530330082001,12207.257427393994,8736.213842915993,401,1.3973166919777948
