bg_od_pair,google_duration,trip_path_distance,origin_lat,origin_lng,dest_lat,dest_lng
530330004011 to 530330012003,12.0,3.08,47.73111,-122.35111,47.70885,-122.32233
530330004011 to 530330012004,24.6,2.54,47.727751999999995,-122.347702,47.707214,-122.32648199999998
530330004011 to 530330012005,10.666666666666666,2.404876791,47.730446,-122.34669166666667,47.70770533333334,-122.332785
530330004011 to 530330013003,8.0,2.351267864,47.729931,-122.345798,47.698371,-122.341144
530330004011 to 530330014002,6.0,1.72,47.724311,-122.346855,47.706884,-122.356143
530330004011 to 530330014003,7.666666666666667,2.386915096,47.727318333333336,-122.34710600000001,47.701485,-122.36408666666667
530330004011 to 530330017011,13.0,3.14,47.73287,-122.35539,47.69187,-122.35577
530330004011 to 530330018003,8.0,2.57,47.728039,-122.345781,47.69677,-122.349251
530330004011 to 530330019001,13.666666666666666,3.032595398166667,47.73103266666667,-122.34847766666667,47.699834,-122.33217366666668
530330004011 to 530330025002,16.5,5.495,47.728315,-122.350275,47.678650000000005,-122.30652
530330004011 to 530330027004,13.0,5.689272876,47.731749,-122.352036,47.683528,-122.344101
530330004011 to 530330028001,17.0,2.86,47.72526,-122.34562,47.68607,-122.34493
530330004011 to 530330031001,12.0,3.95,47.72828,-122.35028,47.68567,-122.38513
530330004011 to 530330036004,9.0,5.22573011,47.73086,-122.345775,47.677197,-122.32591399999998
530330004011 to 530330041004,31.25,7.36569197975,47.726997,-122.34709275,47.66245975,-122.28245749999999
530330004011 to 530330042005,16.0,7.177456421,47.73257,-122.349177,47.672551,-122.294293
530330004011 to 530330049002,22.666666666666668,5.891888947666668,47.731676,-122.354978,47.65067566666667,-122.35108500000001
530330004011 to 530330052002,22.0,5.746666666666666,47.72462000000001,-122.34552333333333,47.65834666666667,-122.31887
530330004011 to 530330054002,23.0,6.87,47.73132,-122.35145,47.65051,-122.33529
530330004011 to 530330059003,22.0,7.56,47.73257,-122.35479,47.64883,-122.36338
530330004011 to 530330060004,20.0,7.470000000000001,47.733320000000006,-122.3484,47.64929,-122.356965
530330004011 to 530330062003,16.0,9.073259342,47.729988,-122.354984,47.636053,-122.313081
530330004011 to 530330070005,35.0,11.63,47.7315,-122.34667,47.62586,-122.35833999999998
530330004011 to 530330073003,30.0,7.57,47.73197,-122.3475,47.62264,-122.3375
530330004011 to 530330078001,25.0,12.63806477,47.730169,-122.354986,47.60194,-122.284951
530330004011 to 530330079001,21.0,10.51670418,47.731762,-122.346978,47.613348,-122.305204
530330004011 to 530330081002,29.0,10.030285622,47.7278364,-122.349616,47.607359,-122.3348996
530330004011 to 530330084002,24.0,10.59,47.73236,-122.35503,47.61066,-122.32185
530330004011 to 530330085003,18.5,10.871507014999999,47.730965499999996,-122.35098199999999,47.603858,-122.324154
530330004011 to 530330092002,38.0,10.62,47.73128,-122.35118,47.60136,-122.33301000000002
530330004011 to 530330093002,27.0,11.578030795,47.730712999999994,-122.3509665,47.59716025,-122.3318495
530330004011 to 530330202002,11.636363636363637,2.883636363636364,47.733428181818184,-122.34835181818181,47.76904818181818,-122.3517609090909
530330004011 to 530330203003,19.0,2.58,47.734,-122.34949,47.76467,-122.34494
530330004011 to 530330203005,12.090909090909092,2.733636363636363,47.73180454545456,-122.34657454545454,47.771253636363646,-122.34501
530330004011 to 530330207001,14.0,1.88,47.733665,-122.34808,47.754535000000004,-122.34439
530330004011 to 530330209001,10.75,0.884269108625,47.73158750000001,-122.35139025000001,47.741638125,-122.34799850000002
530330004011 to 530330209003,12.181818181818182,1.4420717087272727,47.73193636363636,-122.34745227272725,47.74879690909092,-122.3599771818182
530330004011 to 530330210002,8.0,1.83,47.73134,-122.3512,47.73801,-122.32947
530330004011 to 530330210003,4.333333333333333,0.814437124,47.731878333333334,-122.350929,47.737549333333334,-122.34458166666666
530330004011 to 530330214001,15.0,4.768401054,47.729988,-122.354984,47.75375,-122.280353
530330004011 to 530330218042,33.0,12.056234905,47.732388,-122.350433,47.7589,-122.19065
530330004011 to 530330236012,28.0,22.48,47.73247,-122.35486000000002,47.61715,-122.18482
530330004011 to 530330323132,35.2,20.85,47.73246399999999,-122.35482400000001,47.664162,-122.108204
530330004011 to 530610417012,20.0,14.07,47.72869,-122.34712,47.87877,-122.21136
530330004011 to 530610418052,6.0,14.26,47.72844,-122.34752,47.90984,-122.21951
530330004011 to 530610510003,10.0,6.73,47.73249000000001,-122.35473,47.79892,-122.32019
530330004011 to 530610511003,13.0,5.689272876,47.724011,-122.347745,47.77897100000001,-122.312886
530330004011 to 530610515001,30.0,7.45,47.72675,-122.34529,47.82331,-122.31596
530330004011 to 530610516012,19.0,9.78,47.73136,-122.34633999999998,47.83962,-122.30161
530330004011 to 530610518023,17.0,9.256563787,47.730759,-122.34712,47.82968,-122.272521
530330004011 to 530610519162,29.0,7.64,47.73133,-122.35124,47.81003,-122.23575
530330004011 to 530610529052,33.0,27.10793125,47.731762,-122.346978,48.062099,-122.17902
530330004011 to none,180.0,153.15,47.7281,-122.34713,45.52306,-122.67649
530330004012 to 530330004011,1.0,0.07,47.73336,-122.35589,47.73253,-122.35508
530330004012 to 530330012004,10.0,3.36,47.73336,-122.35589,47.70875,-122.32344
530330004012 to 530330203004,17.5,3.76,47.733599999999996,-122.35754,47.77286500000001,-122.34645
530330004012 to 530330207001,12.0,2.06,47.73388,-122.35604,47.75521,-122.34399
530330004013 to 530330001005,13.0,3.201924763,47.726639,-122.355117,47.720375,-122.29507
530330004013 to 530330004011,7.545454545454546,0.6121703470000001,47.72439790909091,-122.35377981818179,47.730197818181814,-122.34983872727274
530330004013 to 530330004013,33.25,1.48625,47.7242925,-122.3526725,47.7242525,-122.35283125
530330004013 to 530330004021,2.0,0.237363722,47.723733,-122.350882,47.722906,-122.355992
530330004013 to 530330005001,6.0,0.51,47.723415,-122.35418999999999,47.725775,-122.361485
530330004013 to 530330006001,5.4,0.632139526,47.7254052,-122.3514028,47.724713200000004,-122.34345400000002
530330004013 to 530330006004,8.0,1.863491629,47.723785,-122.353737,47.712736,-122.337466
530330004013 to 530330007002,15.0,3.6725,47.723655,-122.3521375,47.71327,-122.29835
530330004013 to 530330012003,11.0,2.812270263333333,47.72436033333333,-122.35313233333333,47.70662433333333,-122.32143166666667
530330004013 to 530330013001,10.0,2.55,47.72719,-122.35527,47.70637,-122.33471000000002
530330004013 to 530330014004,17.0,3.37,47.72347,-122.35412500000001,47.711775,-122.38046
530330004013 to 530330017013,6.0,1.501853707,47.723785,-122.353737,47.704861,-122.35496100000002
530330004013 to 530330019001,10.333333333333334,2.766712590333333,47.72365,-122.35385799999999,47.69965233333334,-122.33024599999999
530330004013 to 530330030002,12.0,3.11,47.72368,-122.35249,47.68893,-122.37654
530330004013 to 530330032003,18.0,5.29,47.72346,-122.35415,47.66832,-122.39536
530330004013 to 530330033005,12.0,3.95,47.72712,-122.35482,47.67792,-122.37686
530330004013 to 530330041004,22.0,8.145552439,47.726108,-122.355128,47.662401,-122.282185
530330004013 to 530330043011,29.0,8.06,47.72349000000001,-122.35408,47.66519,-122.29845
530330004013 to 530330044002,19.0,5.24,47.72347,-122.353865,47.675025000000005,-122.316115
530330004013 to 530330047003,13.0,4.51,47.72358,-122.35327,47.671305000000004,-122.378945
530330004013 to 530330047004,21.25,5.057774064499999,47.72400625,-122.35289974999999,47.66815875,-122.3832115
530330004013 to 530330058014,19.666666666666668,6.123333333333334,47.723636666666664,-122.35255666666667,47.65839666666667,-122.38455
530330004013 to 530330058022,21.0,7.331556429,47.725698,-122.348865,47.632907,-122.377257
530330004013 to 530330058023,20.0,7.378159254,47.723785,-122.353737,47.634003,-122.387761
530330004013 to 530330059001,21.5,6.240525385250001,47.726153749999995,-122.35432924999999,47.655120749999995,-122.37098675
530330004013 to 530330071002,18.0,9.40134323,47.723785,-122.353737,47.621482,-122.348124
530330004013 to 530330072001,46.0,8.63,47.7284,-122.35555,47.61521,-122.34112
530330004013 to 530330073001,16.0,9.124833135,47.726639,-122.355117,47.620273,-122.329789
530330004013 to 530330080021,20.0,10.46326627,47.728493,-122.355201,47.610136,-122.342057
530330004013 to 530330081002,30.0,8.55,47.72337,-122.34824,47.61202,-122.33762
530330004013 to 530330082001,17.0,9.645542033,47.72640300000001,-122.349102,47.61315,-122.333677
530330004013 to 530330083001,19.0,10.34147755,47.72640300000001,-122.349102,47.60924,-122.324199
530330004013 to 530330093002,17.0,9.865921613,47.72456433333334,-122.35138966666666,47.596568333333344,-122.33040166666667
530330004013 to 530330203005,15.25,4.3,47.72358,-122.35311750000001,47.776235,-122.343435
530330004013 to 530330204011,13.0,5.319557131,47.726378,-122.349272,47.777053,-122.310831
530330004013 to 530330209001,5.5,1.4883716064999999,47.724874,-122.353854,47.742805,-122.34985599999999
530330004013 to 530330210003,11.0,1.94,47.726581,-122.348343,47.740989,-122.343677
530330004013 to 530530714062,79.0,58.26,47.72695,-122.35451,47.05517,-122.39662
530330004013 to 530610416012,22.0,16.66268474,47.726639,-122.355117,47.911876,-122.205782
530330004013 to 530610419012,43.0,13.47,47.7236,-122.35212,47.88953,-122.26923
530330004013 to 530610510001,15.0,7.6428633,47.723785,-122.353737,47.799585,-122.327432
530330004013 to 530610514001,15.0,8.523967378,47.726108,-122.355128,47.816565,-122.291597
