Seattle Children's Gastroenterology and Hepatology,4800 Sand Point Way Northeast,Seattle,47.66263789999999,-122.283265,ChIJ89lAy4IUkFQRk-EpsV7W_XA,4.0,hospital,"0    4.426973
Name: distance.value, dtype: float64"
Endocrinology at Virginia Mason,1201 Terry Avenue,Seattle,47.6103512,-122.3279443,ChIJU2Vf-7VqkFQRNxFNCOkZep8,5.0,hospital,"0    1.642635
Name: distance.value, dtype: float64"
Seattle Children's Hospital- Heart Center,4800 Sand Point Way Northeast,Seattle,47.663071,-122.282807,ChIJ89lAy4IUkFQRARgqph2Pnp0,4.8,hospital,"0    4.339341
Name: distance.value, dtype: float64"
Facial Surgery Center of Seattle,509 Olive Way #1331,Seattle,47.6127103,-122.33665220000002,ChIJrdhDMksVkFQRlRJXgtraLVw,4.4,hospital,"0    2.509012
Name: distance.value, dtype: float64"
Downtown Seattle Medical Center | Kaiser Permanente Washington,1420 5th Avenue #375,Seattle,47.6106555,-122.3348011,ChIJ3bW1i7RqkFQRQ2SbjMh3RDQ,4.0,hospital,"0    2.050963
Name: distance.value, dtype: float64"
Immediate Clinic Queen Anne,610 1st Avenue North,Seattle,47.62501700000001,-122.354457,ChIJpZ3C10MVkFQRBVXqSRvgATk,4.2,hospital,"0    4.679304
Name: distance.value, dtype: float64"
Seattle Children's Neurology,4800 Sand Point Way Northeast,Seattle,47.662622,-122.28223090000002,ChIJ89lAy4IUkFQR7Of60-dn-r4,5.0,hospital,"0    4.401492
Name: distance.value, dtype: float64"
Psychiatric Medicine Associates,1505 Westlake Avenue North,Seattle,47.632348500000006,-122.34145320000002,ChIJtYa7gz0VkFQRZperXvIWxp4,3.6,hospital,"0    4.384089
Name: distance.value, dtype: float64"
Surgery Department at Virginia Mason,1100 9th Avenue,Seattle,47.6094749,-122.3279078,ChIJ7TVIC7ZqkFQRqaopdUR3SDE,5.0,hospital,"0    1.649472
Name: distance.value, dtype: float64"
Pacific Medical Center - First Hill,1101 Madison Street Suite 301,Seattle,47.60923999999999,-122.324199,ChIJZTs13clqkFQR3Wq9gIePNZQ,3.1,hospital,"0    1.420758
Name: distance.value, dtype: float64"
Swedish Physicians,2211 Queen Anne Avenue North,Seattle,47.638801,-122.357317,ChIJweRAeBIVkFQRALfhGKBUjlE,3.9,hospital,"0    5.688005
Name: distance.value, dtype: float64"
Virginia Mason Hospital & Seattle Medical Center​,1100 Seneca Street,Seattle,47.6100079,-122.327633,ChIJ7TVIC7ZqkFQR9i9t7_vnesU,4.5,hospital,"0    1.643257
Name: distance.value, dtype: float64"
University Of Washington Roosevelt Clinic,4245 Roosevelt Way Northeast,Seattle,47.6588389,-122.3182835,ChIJtZRBUPQUkFQRrha7Mf1oh6M,4.2,hospital,"0    3.830329
Name: distance.value, dtype: float64"
