SERIALNO,HINCP,NP,WGTP,DOWNTOWN,NORTHEAST,NORTHWEST,SOUTHEAST,WEST,AGEP,DDRS,ENG,DEAR,DEYE,DOUT,MIG,HISP,JWMNP,BIKING,DRIVING,TRANSIT,WALKING,MALE,FEMALE,SCHL,WHITE_ALONE,BLACK_ALONE,NATIVE_INDIAN,ASIAN_ALONE,PACIFIC_ISLANDER,OTHER_RACE
52,26474,31416.645661285016,1,361,0.0,1.0,0.0,0.0,0.0,69.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
53,26688,489052.45079400344,4,156,0.0,1.0,0.0,0.0,0.0,24.75,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,3.75,0.0,1.0,0.0,0.0,0.75,0.25,2.0,1.0,0.0,0.0,0.0,0.0,0.0
54,26978,63566.34638800001,1,189,1.0,0.0,0.0,0.0,0.0,36.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
55,27057,825420.0036741616,4,68,0.0,1.0,0.0,0.0,0.0,20.25,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,3.75,1.0,0.0,0.0,0.0,0.5,0.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0
56,27074,16755.54435268534,6,139,1.0,0.0,0.0,0.0,0.0,17.666666666666668,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.5,0.5,1.5,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
57,27773,217455.54905219446,4,65,0.0,0.0,1.0,0.0,0.0,36.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,15.0,0.5,0.5,0.0,0.0,0.25,0.75,3.0,1.0,0.0,0.0,0.0,0.0,0.0
58,28590,3036.9424139242183,1,56,0.0,0.0,0.0,0.0,1.0,71.0,1.0,0.5240049415992813,0.0,1.0,0.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,28811,305474.51797989465,2,119,1.0,0.0,0.0,0.0,0.0,36.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,32.5,0.0,0.0,1.0,0.0,0.5,0.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0
60,28921,54455.51914622736,1,234,0.0,0.0,1.0,0.0,0.0,35.0,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
61,28951,221277.9076076508,2,99,0.0,0.0,0.0,0.0,1.0,71.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.5,0.5,6.0,1.0,0.0,0.0,0.0,0.0,0.0
