hhid,numchildren,hh_wt_revised,hhincome_broad,hhsize,vehicle_count,home_ownership,offpark,year_residence,mean_age,proportion_white,mean_education_year,proportion_employed,proportion_student,mean_distance,mean_depart_time,mean_num_travelers,prop_driving_alone,prop_driving_with_others,prop_transit,prop_biking,prop_walking,mean_duration,prop_went_home,prop_went_work,prop_errands,prop_social,prop_gave_ride,cluster
17149376,0,22.1833727710887,5.0,2,1,1.0,3,4,54.5,0.5,4.0,0.0,0.0,1.132404263857143,484.28571428571433,1.0,0.42857142857142855,0.0,0.0,0.0,0.5714285714285714,5.285714285714286,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,5
17149378,0,86.00700796518329,5.0,1,1,1.0,2,1,49.5,1.0,4.0,1.0,0.0,12.66587112125,540.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.25,0.25,0.5,0.0,0.0,1
17149380,0,23.5678123835202,4.0,1,1,0.0,0,3,49.5,1.0,4.0,1.0,0.0,13.950845039966595,804.6666666666665,1.0,0.5833333333333334,0.0,0.0,0.0,0.4166666666666667,32.041666666666664,0.2727272727272727,0.045454545454545456,0.3181818181818182,0.3636363636363637,0.0,2
17149415,0,25.9781870307049,4.0,2,0,1.0,0,2,54.5,1.0,5.0,1.0,0.0,0.4066429358571429,611.4285714285714,1.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,3.1428571428571432,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,3
17149431,0,1173.1828735288,2.0,1,1,0.0,1,4,39.5,1.0,4.0,1.0,0.0,3.848771974,662.5,1.0,0.0,0.0,1.0,0.0,0.0,11.5,0.5,0.5,0.0,0.0,0.0,3
17149451,0,858.070413713205,1.0,1,0,0.0,0,1,21.0,1.0,4.0,1.0,0.0,4.361853558999228,922.7297297297296,1.2972972972972974,0.0,0.0,0.13043478260869565,0.0,0.8695652173913043,19.864864864864863,0.2702702702702703,0.32432432432432434,0.054054054054054064,0.35135135135135137,0.0,2
17149455,0,21.3134124734853,3.0,2,1,0.0,8,3,29.5,0.5,3.0,1.0,0.0,4.082772462477667,847.3170731707318,1.5609756097560976,0.8780487804878049,0.0,0.0,0.0,0.12195121951219512,16.804878048780488,0.36585365853658536,0.12195121951219512,0.4146341463414634,0.0975609756097561,0.0,1
17149457,2,1179.24396962737,5.0,4,2,1.0,2,4,23.75,1.0,5.0,0.5,0.0,1.472353379047619,644.2857142857142,2.333333333333333,0.8235294117647058,0.0,0.0,0.0,0.17647058823529413,5.6190476190476195,0.3333333333333333,0.09523809523809523,0.42857142857142855,0.14285714285714285,0.0,0
17149509,0,205.317638505905,4.0,2,1,1.0,1,1,29.5,1.0,6.0,1.0,0.5,2.7718692343209166,851.2597402597403,1.7272727272727273,0.35064935064935066,0.0,0.012987012987012988,0.3246753246753247,0.3116883116883117,20.61038961038961,0.2597402597402597,0.18181818181818185,0.2727272727272727,0.15584415584415584,0.12987012987012986,2
17149527,0,20.801153205754602,3.0,1,1,0.0,1,3,39.5,0.0,6.0,1.0,0.0,4.173282979374998,743.75,1.25,0.75,0.0,0.0,0.0,0.25,9.5,0.25,0.25,0.25,0.25,0.0,1
17149530,0,557.3256940989401,5.0,3,1,1.0,1,4,40.0,1.0,4.0,0.6666666666666666,0.3333333333333333,23.2478444975,728.125,1.75,0.25,0.0,0.25,0.0,0.5,29.25,0.5,0.5,0.0,0.0,0.0,1
17149541,1,589.083423627152,5.0,3,1,1.0,1,4,45.16666666666666,1.0,6.0,0.5,0.5,3.145868222071429,626.7857142857142,1.5,0.2307692307692308,0.0,0.2307692307692308,0.15384615384615385,0.38461538461538464,6.857142857142858,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.07142857142857142,0
17149545,1,18.976494052243897,5.0,3,1,1.0,0,2,23.66666666666667,1.0,2.5,1.0,0.0,9.47357760925,527.5,1.75,0.75,0.125,0.125,0.0,0.0,19.25,0.375,0.375,0.0,0.0,0.25,0
17149554,0,8.23200177968855,1.0,1,0,0.0,5,2,29.5,0.0,6.0,0.0,1.0,0.9656105340000001,636.0,3.0,0.0,0.0,0.8,0.0,0.2,5.6,0.4,0.4,0.2,0.0,0.0,3
17149585,0,23.997767931752897,5.0,3,3,0.0,1,1,29.5,0.6666666666666666,4.666666666666667,1.0,0.0,5.390600548666666,535.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,15.166666666666664,0.5,0.5,0.0,0.0,0.0,1
17149590,0,6.87500232070396,4.0,1,1,0.0,10,1,39.5,0.0,4.0,1.0,0.0,2.2624125109361333,969.2142857142856,1.0,0.21428571428571427,0.0,0.5714285714285714,0.0,0.21428571428571427,20.357142857142858,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.0,2
17149591,0,23.6814361845754,2.0,1,0,0.0,0,1,29.5,1.0,4.0,1.0,0.0,0.4905280208571429,700.0,1.2857142857142858,0.0,0.0,0.0,0.0,1.0,3.4285714285714284,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,0.0,2
17149596,0,293.56991696726396,1.0,1,0,0.0,10,4,59.5,1.0,6.0,1.0,0.0,1.726168638,939.1666666666665,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,9.166666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
17149610,0,98.3155033425692,2.0,2,1,1.0,10,2,35.25,0.0,2.0,0.0,0.5,2.6852547765,455.0,1.0,0.5,0.0,0.5,0.0,0.0,9.5,0.5,0.25,0.25,0.0,0.0,3
