-122.3172158,"0    5.447483
Name: distance.value, dtype: float64",5020 Roosevelt Way Northeast Unit 1,3.9,47.66560629999999,ChIJ34vP-2AUkFQRfX000CN_DRM,Seattle,Planned Parenthood - Roosevelt Health Center,,,,,,,,,hospital,
-122.30890959999999,"0    4.830329
Name: distance.value, dtype: float64",1660 South Columbian Way,3.9,47.5634483,ChIJEQjS1thBkFQR-Vphs0JrVVA,Seattle,VA Puget Sound Health Care System,,,,,,,,,hospital,
-122.32779599999999,"0    1.648229
Name: distance.value, dtype: float64",1100 9th Avenue,4.1,47.61003590000001,ChIJx3kMjY8NkFQR9nFRWgZ3Ypc,Seattle,Virginia Mason Hospital and Seattle Medical Center,,,,,,,,,hospital,
-122.32208290000001,"0    1.309509
Name: distance.value, dtype: float64",1229 Madison Street Suite 1040,4.5,47.6101561,ChIJs31noMlqkFQRgbwXi3JnaZo,Seattle,Planned Parenthood - First Hill Health Center,,,,,,,,,hospital,
-122.28326499999999,"0    4.426973
Name: distance.value, dtype: float64",4800 Sand Point Way Northeast,4.0,47.66263789999999,ChIJ89lAy4IUkFQRk-EpsV7W_XA,Seattle,Seattle Children's Gastroenterology and Hepatology,,,,,,,,,hospital,
-122.3279443,"0    1.642635
Name: distance.value, dtype: float64",1201 Terry Avenue,5.0,47.610351200000004,ChIJU2Vf-7VqkFQRNxFNCOkZep8,Seattle,Endocrinology at Virginia Mason,,,,,,,,,hospital,
-122.282807,"0    4.339341
Name: distance.value, dtype: float64",4800 Sand Point Way Northeast,4.8,47.663071,ChIJ89lAy4IUkFQRARgqph2Pnp0,Seattle,Seattle Children's Hospital- Heart Center,,,,,,,,,hospital,
-122.33665220000002,"0    2.509012
Name: distance.value, dtype: float64",509 Olive Way #1331,4.4,47.612710299999996,ChIJrdhDMksVkFQRlRJXgtraLVw,Seattle,Facial Surgery Center of Seattle,,,,,,,,,hospital,
-122.33480109999999,"0    2.050963
Name: distance.value, dtype: float64",1420 5th Avenue #375,4.0,47.6106555,ChIJ3bW1i7RqkFQRQ2SbjMh3RDQ,Seattle,Downtown Seattle Medical Center | Kaiser Permanente Washington,,,,,,,,,hospital,
-122.35445700000001,"0    4.679304
Name: distance.value, dtype: float64",610 1st Avenue North,4.2,47.62501700000001,ChIJpZ3C10MVkFQRBVXqSRvgATk,Seattle,Immediate Clinic Queen Anne,,,,,,,,,hospital,
