uv_origin,google_duration,trip_path_distance,hhsize,hh_rent,hh_own,depart_time,hhincome_broad,rent_own,numchildren,vehicle_count,weekday_am,weekday_mid,weekday_pm,weekday_late,residency_under5,residency_over5,income_under25,income_25_50,income_75_100,income_over100,drive_alone,pct_white,trip_wt_final,drive_alone_threshold
Columbia City,10.013304270746792,2.549924502383965,2.8195044495590937,0.19995061470374828,0.7335378808345284,14.00335629313036,4.341748481964982,1.4659966325506426,0.7792124639640831,1.5853573836986798,0.2372735561878847,0.15672313312633906,0.48291566233669125,0.07085318122566225,0.5301569715345608,0.4698430284654405,0.0787373276887859,0.03153650059281423,0.0024889154173114007,0.5749226966463776,0.45194364938390935,0.6698695781613507,19354.65853491298,0
Commercial Core,5.124104599227536,1.0116899315209695,3.9654029759160037,0.12938635782781877,0.8656834443011876,14.46520643076985,4.538228968943174,1.1474933480463414,2.0140879826442206,1.8102599831427695,0.024392329970011024,0.5568604565933013,0.39226800211490603,0.018278207299593778,0.8348292175948445,0.16517078240515654,0.029271686654215263,0.08449202913225339,0.00016608402483406757,0.8058549233410355,0.03397970212878612,0.9298091948711896,448866.1688251198,1
Crown Hill,8.635785476827962,2.3895091393085797,3.2459057977810133,0.22253861340704453,0.7774613865929557,12.36107961858744,3.523176856842979,1.2225386134070442,1.5052280611490663,1.5722501502953021,0.25554683943139456,0.32717754150017947,0.3041378463254587,0.0059128275996978815,0.29232186285343176,0.7076781371465684,0.3041690300989794,0.016980680186653316,0.004220783517375966,0.4730142352007792,0.22967604899641775,0.8833823155330749,13400.385066367995,1
Denny Triangle,8.256802907644284,2.711653467773608,1.8881837865579207,0.2864859507532013,0.6806872277733833,10.5416354558607,3.6014927098243446,1.3716904127402176,0.015013104125831381,2.1213791059496647,0.41257699238600276,0.37530638945441747,0.10895523820742282,0.04644225338573734,0.22470260931059957,0.7752973906894005,0.1283353527918873,0.08411037836768068,0.16858750835015646,0.14564398412790783,0.23124093666629184,0.9255370883118883,20374.250738307008,1
Eastlake,7.133347709607342,1.6351364443493912,3.1232446556010234,0.41072933881820517,0.5892706611817948,12.790806270927286,4.270922198443637,1.410729338818204,0.7992674870929516,1.8326499752554288,0.32780050840623043,0.17963099270485777,0.3726379879116362,0.08345784392626643,0.46095394494665404,0.5390460550533456,0.010840326121120078,0.17020549495812806,0.0004978893755628605,0.6587782231730178,0.22720979672953423,0.7378605677733954,27802.418784506008,1
First Hill,10.30116337216773,2.7830753125844545,2.275104377524045,0.28885867901089896,0.7037701277962505,12.95142357933194,4.310657469043347,1.3121599508592547,0.24017803172492277,1.537038767940842,0.3013469849218097,0.2535637820566151,0.41865223574331156,0.012041799614040687,0.3118566108694123,0.6881433891305874,0.06426646165492887,0.14234898833849766,0.000339666864868127,0.4884243236890285,0.21417858589809396,0.6749488749202779,51182.38592646601,1
Fremont,9.787385422371434,2.2477100741307883,2.3148247296018836,0.1791540369977266,0.8172499693301143,14.381402849190044,4.376837118191908,1.1935380116863636,0.4557846044361945,1.9432362307892115,0.26376207184659933,0.22318091239189977,0.4002978584251006,0.10366378348980707,0.34455376153520906,0.6554462384647912,0.0496710021089562,0.07084755790445618,0.000567192102759936,0.717698618596851,0.3765970830862402,0.6291425443086915,51807.65512530297,1
Greater Duwamish,12.105469646567721,3.8496210322148667,2.267831036118533,0.4081965812152198,0.5849082953780088,13.815840324804748,3.8310413437478985,1.427568828866402,0.3550911904587579,1.7665509312206698,0.04086399660792411,0.3876259270795851,0.3411653563064285,0.1040263428660411,0.38804270193695634,0.6119572980630437,0.05095044526294288,0.16760049697818882,0.002465277119721348,0.44525903276727946,0.4290971463729459,0.7390449841963237,66750.25870428601,0
Green Lake,8.807854577016224,1.685825777778243,2.5129458164530605,0.657712608436513,0.31249233402119436,15.260029042929098,3.6695722135752713,1.7539479273788787,0.31635124249989416,1.5410591081944558,0.09777859376684019,0.2769452253927026,0.454548133550672,0.13694640910933958,0.3793376153401329,0.6206623846598672,0.2021444186520711,0.021296420143305905,0.0058001939978302676,0.4335201214105388,0.2511833960989932,0.8496685878090319,27196.499376776996,1
Greenwood-Phinney Ridge,10.207626363673356,2.5846028089397737,1.9569238886115403,0.3809879275394188,0.5747840818659554,13.057520350467446,4.102272369153452,1.5136718993232965,0.2620390015560605,1.4183114980358453,0.3307569080469964,0.43437055367286725,0.13352391857519025,0.07588191447377418,0.3645923227368193,0.6354076772631808,0.02962338991206927,0.03127063281336105,0.0019409589271167746,0.12769187552512967,0.5399816375618236,0.9597867190434182,12048.132563470997,0
