block_group,mode,departure_time,distance,duration,destination,lat,lon,address,class,type,city,rating
530330058014,bicycling,2018-07-26 07:00:00-07:00,2.5431945307644503,17.283333333333335,Ballard High School,47.676859,-122.374338,1418 Northwest 65th Street,school,,Seattle,3.1
530330111024,bicycling,2018-07-26 07:00:00-07:00,6.3275326289620875,47.2,South Seattle College,47.54841,-122.352194,,citywide,College,,
530330114023,bicycling,2018-07-26 07:00:00-07:00,6.281541330018644,33.63333333333333,SODO,47.583574,-122.333555,,citywide,Major Employment Area,,
530330058013,bicycling,2018-07-26 07:00:00-07:00,5.4425108763206955,34.31666666666667,Downtown Commercial Core,47.608001,-122.334658,,citywide,Major Employment Area,,
530330111011,bicycling,2018-07-26 07:00:00-07:00,0.5954008701056557,8.033333333333333,Graham Hill Elementary School,47.545840399999996,-122.2683764,5149 South Graham Street,school,,Seattle,3.7
530330047001,bicycling,2018-07-26 07:00:00-07:00,0.4505904288377874,3.9166666666666665,West Woodland Elementary,47.6704983,-122.36206229999999,5601 4th Avenue Northwest,school,,Seattle,4.3
530330017024,bicycling,2018-07-26 07:00:00-07:00,1.5885643256681168,11.533333333333333,Ballard Pediatric Clinic,47.68478029999999,-122.37651059999999,7554 15th Avenue Northwest,hospital,,Seattle,4.9
530330011001,bicycling,2018-07-26 07:00:00-07:00,1.3679303915475451,7.7,Kilimanjaro Market,47.721529100000005,-122.2934249,12714 Lake City Way Northeast,supermarket,,Seattle,5.0
530330004024,bicycling,2018-07-26 07:00:00-07:00,8.449968924798009,55.18333333333333,Downtown Commercial Core,47.608001,-122.334658,,citywide,Major Employment Area,,
530330001001,bicycling,2018-07-26 07:00:00-07:00,17.886264760720945,112.16666666666669,South Seattle College,47.54841,-122.352194,,citywide,College,,
530330081002,bicycling,2018-07-26 07:00:00-07:00,8.118707271597266,55.21666666666667,North Seattle College,47.699252,-122.33352,,citywide,College,,
530330001004,bicycling,2018-07-26 07:00:00-07:00,4.821628340584214,26.05,Magnusan Park,47.680326,-122.253198,,destination_park,,,
530330007001,bicycling,2018-07-26 07:00:00-07:00,10.576755748912367,71.23333333333333,Downtown Pioneer Square,47.601651000000004,-122.334226,,citywide,Major Employment Area,,
530330017013,bicycling,2018-07-26 07:00:00-07:00,10.784959602237413,59.03333333333333,SODO,47.583574,-122.333555,,citywide,Major Employment Area,,
530330084001,bicycling,2018-07-26 07:00:00-07:00,0.197016780609074,2.316666666666667,Immediate Clinic Capitol Hill,47.6145278,-122.3205693,1512 Broadway,hospital,,Seattle,4.5
